Asset,Neutral,Window,Train,Test
ADI,0,2,0.5221762902979021,1.6849613724970753
NXPI,2,18,1.5087644073995423,-1.5091824886216214
VRTX,2,10,0.17128694143864456,-1.7258607441217875
KLAC,8,12,0.31509356239566255,0.06423772718109497
MRNA,0,2,-5.471368740376732,1.2903993081900003
PDD,2,10,1.3349554152836762,2.061182386088126
REGN,12,18,0.5691005891288556,0.9124199383312874
KHC,18,20,1.1768117816162071,-0.1821325182079832
MNST,8,4,1.0860415111946755,3.948753845141631
KDP,0,2,1.520725412918408,1.4449986506792103
MAR,14,18,3.0119973813005956,0.118430943765208
ASML,10,2,0.8374884866643149,0.7271377463971188
WBA,0,2,0.4632747942838268,0.38674378343659255
WDAY,0,2,1.0814516784949622,-0.515951658035521
ROST,12,12,0.9879688367372953,-0.4795432486975564
ALGN,4,12,2.7364143126554925,2.228507343664788
EXC,10,2,0.7280760188386978,-1.5735162194148267
MCHP,2,20,0.9400545786049425,-1.0903103208129934
AEP,10,2,0.9838732181910782,-0.43571371279453114
EBAY,0,2,0.5374142390284411,1.201895874366953
CTSH,12,18,1.1217906892951452,-0.9954510739209127
IDXX,2,10,1.9509896929467878,0.628444113384826
BIIB,4,2,0.9818624225300332,-0.8211662745613912
EA,4,2,1.4343821509107824,-1.704689914044943
CDNS,18,20,0.4013753925363968,
SNPS,0,4,0.624123539576253,1.5237698525203032
LULU,14,2,0.7472427967582466,-0.5122004077893638
MTCH,12,14,1.0911690083907797,0.26659212100982854
DOCU,16,2,1.355130148947957,0.5393953726617392
XEL,6,20,1.0391585500124148,-1.2544432477690233
CTAS,14,4,1.7929484855166076,
ORLY,16,12,0.5679310165305008,-0.2769650942577913
DXCM,12,4,1.2803326392765488,0.99460699618285
PAYX,4,20,1.340154196735227,-3.936464100332434
MRVL,0,2,0.6277199360759331,0.9380929537617365
ALXN,0,2,,
PCAR,4,2,0.42250654013889993,-0.45023012927522293
NTES,0,4,2.1065350054964873,1.889025282121098
XLNX,4,10,1.8502039407352866,-0.2645631598940089
SWKS,4,10,0.22679905305404263,4.0280810082702745
ANSS,2,20,2.3935913816761616,0.620011020178125
PTON,0,2,,2.988170599170173
TEAM,0,2,1.9804391646688289,0.5836042975417448
VRSK,2,12,0.7735416555886704,0.9743379825812278
FAST,12,12,0.5320583916018778,-0.3263832772338972
OKTA,0,2,0.6157169682153228,1.925392686020753
DLTR,16,4,0.4507641338462119,-1.6619512904062042
CPRT,8,20,0.8097071507555786,1.0847655484930487
SGEN,8,18,0.7816205927560614,-0.22912773836381373
SIRI,2,10,0.9455454249449728,-0.4388847717028812
MXIM,0,2,,
CDW,0,2,0.9927184743711388,1.9296620586667779
VRSN,12,12,0.8126155662748191,1.1238207704049643
SPLK,0,2,1.4742394517914583,1.9886389237206907
CERN,6,12,1.405735780131458,0.3530300064368229
TCOM,4,20,0.5352358755588695,0.5081544091921593
INCY,2,20,0.7986723852830685,0.16937623728709564
CHKP,18,20,-0.06506073144677114,-0.28317463555228783
FOXA,0,2,,1.4426811985315013
FOX,0,2,,1.092201898580105
